low_0,low_1,low_2,low_3,low_4,low_5,low_6,low_7,low_8,low_9
3115.8902272727273,3123.04,3178.7,3232.82,3291.06,3340.46,3345.01,3353.45,3357.46,3360.73
3115.8902272727273,3123.04,3178.7,3181.73,3232.82,3291.06,3345.01,3353.45,3357.46,3360.73
3115.8902272727273,3123.04,3168.11,3178.7,3181.73,3232.82,3291.06,3345.245,3353.45,3359.0950000000003
3115.8902272727273,3123.04,3153.08,3168.11,3179.4575,3232.82,3291.06,3345.245,3353.2799999999997,3359.0950000000003
3057.22,3115.8902272727273,3123.04,3153.08,3168.11,3179.4575,3232.82,3291.06,3345.245,3355.895
3058.865,3115.8902272727273,3123.04,3153.08,3168.11,3179.4575,3232.82,3291.06,3350.173333333333,3359.0950000000003
3058.865,3115.949111111111,3123.04,3153.08,3168.11,3179.4575,3232.82,3291.06,3352.6949999999997,3359.0950000000003
3058.865,3115.949111111111,3123.04,3155.2,3168.11,3179.4575,3232.82,3291.06,3353.64,3359.0950000000003
3058.865,3115.949111111111,3123.04,3153.08,3158.105,3168.11,3179.4575,3232.82,3291.06,3359.0950000000003
3058.865,3115.949111111111,3123.04,3153.08,3157.5666666666666,3168.11,3179.4575,3232.82,3291.06,3360.73
3058.865,3115.949111111111,3123.04,3153.08,3157.5666666666666,3168.575,3178.7,3181.73,3232.82,3291.06
3057.22,3060.51,3115.949111111111,3123.04,3153.08,3157.5666666666666,3168.575,3178.005,3181.73,3232.82
3058.865,3115.8902272727273,3118.54,3123.04,3153.08,3157.5666666666666,3168.575,3175.92,3178.915,3181.73
3057.22,3060.51,3115.8902272727273,3118.54,3123.04,3153.08,3157.5666666666666,3168.575,3175.0,3179.6724999999997
3057.22,3060.51,3115.949111111111,3123.04,3153.08,3157.5666666666666,3168.556666666667,3175.0,3179.13,3181.73
3057.22,3060.51,3115.8902272727273,3118.54,3123.04,3153.08,3157.5666666666666,3168.556666666667,3175.6833333333334,3180.645
3057.22,3060.51,3115.8902272727273,3118.54,3153.08,3157.5666666666666,3168.556666666667,3174.08,3176.6066666666666,3180.645
3057.22,3060.51,3115.8902325581394,3118.54,3153.08,3156.9049999999997,3159.66,3168.556666666667,3175.975,3180.645
3057.22,3060.51,3115.890238095238,3118.54,3153.08,3157.27,3159.66,3168.556666666667,3175.975,3180.645
3057.22,3060.51,3115.890243902439,3118.54,3153.08,3157.27,3159.923333333333,3168.556666666667,3175.975,3180.645
3058.865,3115.89025,3118.54,3153.08,3157.27,3159.923333333333,3163.27,3168.556666666667,3175.975,3180.645
3058.865,3115.9565,3153.08,3157.27,3159.923333333333,3163.27,3168.556666666667,3172.88,3176.6066666666666,3180.645
3057.22,3060.51,3115.958205128205,3153.08,3157.675,3161.383333333333,3168.9125,3172.88,3176.6066666666666,3180.645
3058.865,3115.8902702702703,3118.54,3153.08,3157.675,3161.383333333333,3168.556666666667,3170.9266666666667,3175.975,3180.645
3058.865,3115.961891891892,3153.08,3157.675,3161.383333333333,3168.556666666667,3170.9266666666667,3175.975,3180.645,3191.44
3058.865,3115.963888888889,3153.08,3157.675,3161.383333333333,3168.556666666667,3170.9266666666667,3175.975,3180.645,3193.3
3058.865,3115.966,3153.08,3157.675,3161.383333333333,3169.741666666667,3175.975,3180.645,3191.44,3197.515
3058.865,3115.9682352941177,3156.2225,3160.7599999999998,3169.741666666667,3175.975,3180.645,3193.3,3199.87,3205.8
3058.865,3115.970606060606,3156.2225,3160.7599999999998,3169.741666666667,3175.975,3180.645,3193.3,3200.33,3205.8
3058.865,3115.973125,3156.2225,3160.7599999999998,3169.741666666667,3175.975,3180.645,3193.3,3200.9133333333334,3205.8
3058.865,3115.9758064516127,3156.756,3161.383333333333,3169.741666666667,3175.975,3180.645,3193.3,3200.9133333333334,3208.33
3058.865,3115.9786666666664,3156.2225,3160.7599999999998,3169.741666666667,3175.975,3180.645,3193.3,3200.9133333333334,3208.8233333333333
3058.865,3115.981724137931,3156.2225,3160.7599999999998,3169.741666666667,3177.5316666666668,3193.3,3200.9133333333334,3208.8233333333333,3225.59
3058.865,3115.9849999999997,3156.756,3161.383333333333,3169.741666666667,3177.5316666666668,3193.3,3200.9133333333334,3208.8233333333333,3223.84
3058.865,3115.9885185185185,3156.2225,3160.7599999999998,3169.741666666667,3177.5316666666668,3193.3,3202.135,3211.3566666666666,3223.84
3058.865,3115.992307692308,3156.2225,3160.7599999999998,3169.741666666667,3177.5316666666668,3193.3,3200.9133333333334,3209.9675,3221.8333333333335
3058.865,3115.9964,3154.785,3159.7266666666665,3169.741666666667,3177.5316666666668,3193.3,3202.016,3211.3566666666666,3221.8333333333335
3058.865,3116.000833333333,3156.2225,3160.7599999999998,3170.3614285714284,3178.222,3193.3,3201.668333333333,3211.3566666666666,3221.8333333333335
3058.865,3116.005652173913,3154.785,3159.7266666666665,3169.741666666667,3177.5316666666668,3193.3,3201.9514285714286,3211.3566666666666,3221.8333333333335
3058.865,3116.010909090909,3154.785,3159.7266666666665,3169.741666666667,3177.5316666666668,3193.3,3201.8675,3211.3566666666666,3221.8333333333335
3058.865,3116.0166666666664,3153.08,3159.2642857142855,3169.741666666667,3177.5316666666668,3194.86,3201.8675,3211.3566666666666,3221.8333333333335
3058.865,3116.0229999999997,3158.49125,3169.741666666667,3175.975,3181.8633333333332,3193.3,3201.4355555555558,3211.3566666666666,3221.8333333333335
3058.865,3116.0299999999997,3158.49125,3169.741666666667,3175.975,3181.8633333333332,3192.4366666666665,3201.4355555555558,3211.3566666666666,3221.8333333333335
