Date,open,high,low,close,volume
2016-01-04 08:00:00,3536.59,3538.54,3486.51,3491.56,44383032
2016-01-04 10:00:00,3490.74,3494.01,3395.97,3399.91,101459576
2016-01-04 12:00:00,3399.79,3399.79,3295.74,3296.66,38575808
2016-01-04 14:00:00,3296.66,3296.66,3296.26,3296.26,0
2016-01-05 08:00:00,3196.65,3328.1,3191.77,3310.67,72206416
2016-01-05 10:00:00,3310.82,3326.03,3272.44,3309.92,65931312
2016-01-05 12:00:00,3309.91,3313.04,3237.46,3251.01,52546784
2016-01-05 14:00:00,3251.01,3289.61,3189.81,3287.71,76197568
2016-01-06 08:00:00,3291.19,3322.53,3290.05,3321.65,45312772
2016-01-06 10:00:00,3320.79,3327.22,3289.34,3310.24,81178892
2016-01-06 12:00:00,3310.24,3344.72,3300.45,3330.81,47572816
2016-01-06 14:00:00,3330.14,3362.97,3330.14,3361.84,64822192
2016-01-07 08:00:00,3309.66,3309.66,3123.04,3123.04,67746256
2016-01-07 10:00:00,3121.34,3121.34,3115.89,3115.89,2822864
2016-01-07 12:00:00,3115.89,3115.89,3115.89,3115.89,0
2016-01-07 14:00:00,3115.89,3125.0,3115.89,3125.0,0
2016-01-08 08:00:00,3194.63,3219.47,3057.22,3165.87,107541800
2016-01-08 10:00:00,3166.44,3199.56,3156.49,3199.56,80850872
2016-01-08 12:00:00,3199.87,3235.45,3199.87,3207.42,47474976
2016-01-08 14:00:00,3208.03,3209.83,3182.52,3186.41,50573184
2016-01-11 08:00:00,3131.85,3152.73,3106.22,3143.35,61087224
2016-01-11 10:00:00,3143.91,3166.22,3080.29,3109.95,86405736
2016-01-11 12:00:00,3110.27,3112.61,3068.6,3096.04,45928272
2016-01-11 14:00:00,3096.08,3102.25,3016.7,3016.7,78222448
2016-01-12 08:00:00,3026.16,3047.63,2990.9,3023.15,56498576
2016-01-12 10:00:00,3023.93,3030.1,2978.46,3028.04,69238416
2016-01-12 12:00:00,3028.04,3044.83,3020.64,3026.85,34327776
2016-01-12 14:00:00,3025.62,3038.73,3007.42,3022.86,47594848
2016-01-13 08:00:00,3041.11,3047.9,3024.45,3046.59,37578900
2016-01-13 10:00:00,3045.97,3058.75,3013.45,3022.47,65204652
2016-01-13 12:00:00,3022.47,3030.14,2996.23,3015.38,31413496
2016-01-13 14:00:00,3015.79,3022.27,2949.56,2949.6,60085064
2016-01-14 08:00:00,2874.05,2916.34,2868.31,2916.34,47397352
2016-01-14 10:00:00,2916.13,2933.62,2890.38,2917.52,56398968
2016-01-14 12:00:00,2917.54,2978.46,2917.14,2969.92,44762384
2016-01-14 14:00:00,2969.31,3012.29,2964.71,3007.65,64346944
2016-01-15 08:00:00,2988.05,2997.16,2977.02,2997.16,35244648
2016-01-15 10:00:00,2997.49,3001.71,2960.87,2961.47,58138720
2016-01-15 12:00:00,2961.47,2961.47,2903.95,2938.3,46656680
2016-01-15 14:00:00,2940.12,2942.54,2884.09,2900.97,58681648
