Date,open,high,low,close,volume
2016-01-04 09:30:00,8385.0,8385.0,8200.83,8217.91,21431368
2016-01-04 10:00:00,8217.95,8232.14,7937.49,8050.2,23983468
2016-01-04 10:30:00,8049.94,8071.14,8012.61,8041.96,9399780
2016-01-04 11:00:00,8041.89,8047.43,7951.56,7965.77,9135600
2016-01-04 11:30:00,7964.7,7965.49,7955.46,7955.79,350388
2016-01-04 13:00:00,7955.79,7955.79,7831.3,7831.3,8394412
2016-01-04 13:30:00,7830.83,7830.83,7702.96,7705.72,6103128
2016-01-04 14:00:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:30:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 15:00:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-05 09:30:00,7375.71,7748.63,7372.74,7692.24,29706884
2016-01-05 10:00:00,7692.41,7694.73,7574.22,7641.26,12130044
2016-01-05 10:30:00,7640.44,7701.42,7639.09,7682.36,8132984
2016-01-05 11:00:00,7683.78,7730.99,7673.39,7686.0,7509128
2016-01-05 11:30:00,7686.76,7687.38,7683.84,7684.61,172452
2016-01-05 13:00:00,7685.54,7695.51,7514.29,7514.29,9740692
2016-01-05 13:30:00,7512.28,7568.63,7466.42,7513.55,13687656
2016-01-05 14:00:00,7517.0,7529.35,7338.43,7510.96,17676216
2016-01-05 14:30:00,7510.06,7611.54,7489.33,7601.81,13678448
2016-01-05 15:00:00,7601.74,7604.33,7601.74,7604.33,1049616
2016-01-06 09:30:00,7641.97,7706.09,7641.97,7696.86,20150704
2016-01-06 10:00:00,7696.85,7696.85,7631.26,7631.26,12304498
2016-01-06 10:30:00,7631.26,7634.44,7557.88,7557.88,11572946
2016-01-06 11:00:00,7557.88,7637.68,7557.88,7618.42,7106920
2016-01-06 11:30:00,7619.84,7622.45,7618.16,7622.12,158716
2016-01-06 13:00:00,7621.87,7666.41,7591.4,7660.56,7723352
2016-01-06 13:30:00,7660.34,7706.38,7649.54,7666.11,10168424
2016-01-06 14:00:00,7665.64,7750.89,7665.63,7731.13,10932280
2016-01-06 14:30:00,7730.74,7747.6,7703.85,7746.85,12357200
2016-01-06 15:00:00,7746.85,7746.85,7746.85,7746.85,1134232
2016-01-07 09:30:00,7598.76,7598.76,7119.64,7119.64,24031132
2016-01-07 10:00:00,7120.69,7120.69,7104.36,7104.36,1943156
2016-01-07 10:30:00,7104.36,7104.36,7104.36,7104.36,0
2016-01-07 11:00:00,7104.36,7104.36,7104.36,7104.36,0
2016-01-07 11:30:00,7104.36,7104.36,7104.36,7104.36,0
2016-01-07 13:00:00,7104.36,7104.36,7104.36,7104.36,0
2016-01-07 13:30:00,7104.36,7104.36,7104.36,7104.36,0
2016-01-07 14:00:00,7104.36,7104.36,7104.36,7104.36,0
2016-01-07 14:30:00,7104.36,7104.36,7104.36,7104.36,0
2016-01-07 15:00:00,7104.36,7104.36,7104.36,7104.36,0
2016-01-08 09:30:00,7263.66,7351.09,6863.27,7160.63,40107528
2016-01-08 10:00:00,7163.32,7261.92,7133.95,7221.83,13794064
2016-01-08 10:30:00,7223.13,7229.89,7140.15,7170.99,7738128
2016-01-08 11:00:00,7171.37,7243.68,7153.86,7243.29,6457424
2016-01-08 11:30:00,7243.9,7252.69,7243.9,7252.64,287800
2016-01-08 13:00:00,7261.45,7329.81,7255.74,7329.81,8847096
2016-01-08 13:30:00,7329.88,7359.89,7256.57,7280.36,8976592
2016-01-08 14:00:00,7280.29,7281.62,7208.23,7260.83,7921880
2016-01-08 14:30:00,7261.2,7268.81,7193.58,7202.1,11290240
2016-01-08 15:00:00,7202.07,7202.07,7200.3,7200.3,1056464
2016-01-11 09:30:00,7039.2,7106.88,6964.52,7084.63,19877048
2016-01-11 10:00:00,7084.37,7138.67,7070.94,7093.6,10157308
2016-01-11 10:30:00,7092.12,7128.87,7054.62,7070.12,8389968
2016-01-11 11:00:00,7071.24,7080.47,6895.49,6976.77,13571264
2016-01-11 11:30:00,6977.57,6980.11,6977.49,6979.08,206152
2016-01-11 13:00:00,6979.76,6979.76,6864.22,6881.54,9841404
2016-01-11 13:30:00,6882.18,6999.13,6882.18,6946.94,7751960
2016-01-11 14:00:00,6947.24,6968.94,6846.48,6846.48,8845040
2016-01-11 14:30:00,6845.32,6862.99,6735.0,6747.02,15645488
2016-01-11 15:00:00,6747.02,6747.02,6745.31,6745.32,839504
2016-01-12 09:30:00,6775.65,6855.63,6688.85,6798.04,21568276
2016-01-12 10:00:00,6799.1,6811.16,6747.72,6767.86,9354832
2016-01-12 10:30:00,6767.96,6767.96,6670.6,6724.16,10889448
2016-01-12 11:00:00,6724.16,6826.06,6724.16,6814.65,6623444
2016-01-12 11:30:00,6814.95,6819.63,6814.93,6819.63,189956
2016-01-12 13:00:00,6821.93,6854.4,6814.29,6833.47,7375660
2016-01-12 13:30:00,6832.8,6902.34,6832.07,6855.34,8865752
2016-01-12 14:00:00,6854.07,6869.21,6797.74,6851.33,7964256
2016-01-12 14:30:00,6851.33,6853.35,6785.35,6810.44,8967008
2016-01-12 15:00:00,6810.44,6810.44,6810.44,6810.44,874504
2016-01-13 09:30:00,6862.69,6890.3,6825.9,6886.24,16574865
2016-01-13 10:00:00,6886.84,6903.18,6860.79,6865.76,10003007
2016-01-13 10:30:00,6866.12,6880.24,6845.84,6866.89,6388344
2016-01-13 11:00:00,6866.82,6867.21,6769.14,6795.3,8521240
2016-01-13 11:30:00,6795.12,6799.61,6794.21,6799.61,211820
2016-01-13 13:00:00,6799.61,6801.24,6720.4,6761.19,7504796
2016-01-13 13:30:00,6760.45,6820.1,6755.03,6787.63,6017852
2016-01-13 14:00:00,6787.63,6801.84,6708.22,6708.22,7118532
2016-01-13 14:30:00,6705.96,6728.17,6604.76,6604.76,15702928
2016-01-13 15:00:00,6602.31,6602.31,6602.31,6602.31,1292568
2016-01-14 09:30:00,6416.24,6577.06,6406.67,6577.06,19167912
2016-01-14 10:00:00,6579.2,6622.21,6553.42,6611.51,9161878
2016-01-14 10:30:00,6611.91,6614.71,6531.73,6562.72,7304742
2016-01-14 11:00:00,6562.89,6627.49,6562.24,6611.9,6248052
2016-01-14 11:30:00,6611.25,6616.61,6611.25,6616.21,180560
2016-01-14 13:00:00,6616.21,6710.33,6616.21,6710.33,8433284
2016-01-14 13:30:00,6711.89,6776.78,6711.89,6760.13,12188332
2016-01-14 14:00:00,6759.8,6835.96,6747.68,6789.04,10556800
2016-01-14 14:30:00,6789.48,6848.8,6782.2,6838.71,12380224
2016-01-14 15:00:00,6838.85,6839.58,6838.85,6839.58,1140360
2016-01-15 09:30:00,6794.18,6837.65,6768.0,6837.65,16783262
2016-01-15 10:00:00,6839.19,6845.1,6779.81,6800.43,10672958
2016-01-15 10:30:00,6803.85,6816.29,6752.53,6799.91,8519996
2016-01-15 11:00:00,6798.14,6821.48,6776.78,6776.78,5426632
2016-01-15 11:30:00,6776.13,6776.29,6769.66,6769.66,289984
2016-01-15 13:00:00,6769.09,6769.09,6630.36,6636.41,11282592
2016-01-15 13:30:00,6636.83,6723.25,6636.83,6723.25,7538496
2016-01-15 14:00:00,6724.06,6732.33,6593.38,6629.89,9979280
2016-01-15 14:30:00,6627.95,6680.77,6594.85,6627.95,11332920
2016-01-15 15:00:00,6627.95,6627.95,6627.95,6627.95,1039400
2016-01-18 09:30:00,6511.12,6693.17,6511.12,6651.27,15202334
2016-01-18 10:00:00,6651.58,6708.66,6644.78,6656.87,8636114
2016-01-18 10:30:00,6656.95,6665.58,6608.01,6651.21,6745676
2016-01-18 11:00:00,6652.62,6687.76,6629.8,6686.89,4733540
2016-01-18 11:30:00,6686.89,6695.28,6686.78,6695.23,315316
2016-01-18 13:00:00,6695.23,6775.48,6695.23,6763.59,9933608
2016-01-18 13:30:00,6763.03,6803.16,6751.6,6764.03,9430700
2016-01-18 14:00:00,6762.99,6815.08,6749.88,6764.02,8511256
2016-01-18 14:30:00,6764.08,6764.17,6723.02,6741.18,9248016
2016-01-18 15:00:00,6741.19,6741.68,6741.19,6741.68,798360
2016-01-19 09:30:00,6724.48,6785.69,6715.87,6773.09,15971775
2016-01-19 10:00:00,6773.11,6785.25,6722.02,6722.06,10334951
2016-01-19 10:30:00,6721.45,6747.55,6713.05,6746.74,6238670
2016-01-19 11:00:00,6746.9,6821.68,6726.07,6821.68,7335852
2016-01-19 11:30:00,6820.84,6828.56,6819.38,6827.36,468052
2016-01-19 13:00:00,6827.36,6907.65,6827.36,6907.65,13608812
2016-01-19 13:30:00,6906.82,6930.66,6885.14,6910.0,11397720
2016-01-19 14:00:00,6909.75,6948.04,6901.66,6934.98,9650608
2016-01-19 14:30:00,6934.95,6987.58,6934.17,6971.78,13955320
2016-01-19 15:00:00,6971.63,6971.63,6971.63,6971.63,1262184
2016-01-20 09:30:00,6927.48,6992.54,6913.86,6989.45,21620220
2016-01-20 10:00:00,6989.82,7011.48,6947.87,6955.56,13650856
2016-01-20 10:30:00,6955.85,6972.8,6917.71,6918.13,10908060
2016-01-20 11:00:00,6916.79,6934.87,6867.21,6869.16,10950568
2016-01-20 11:30:00,6870.2,6875.41,6870.2,6874.76,384152
2016-01-20 13:00:00,6875.16,6899.81,6838.72,6874.7,8855040
2016-01-20 13:30:00,6872.3,6921.41,6843.97,6902.49,7185592
2016-01-20 14:00:00,6902.12,6903.17,6847.67,6884.62,6566472
2016-01-20 14:30:00,6884.87,6923.45,6863.88,6876.32,9652904
2016-01-20 15:00:00,6876.61,6876.61,6876.36,6876.36,932256
2016-01-21 09:30:00,6771.52,6848.37,6762.01,6842.64,17345360
2016-01-21 10:00:00,6841.85,6867.73,6813.21,6867.73,8625812
2016-01-21 10:30:00,6868.89,6906.03,6861.12,6905.42,7433404
2016-01-21 11:00:00,6905.98,6954.2,6900.95,6936.36,7953716
2016-01-21 11:30:00,6936.5,6939.69,6935.75,6939.25,193292
2016-01-21 13:00:00,6938.33,6938.59,6850.33,6868.86,7777960
2016-01-21 13:30:00,6869.49,6870.88,6774.96,6774.96,10213004
2016-01-21 14:00:00,6774.55,6827.8,6754.31,6756.71,8514092
2016-01-21 14:30:00,6755.77,6783.15,6634.23,6634.23,15715488
2016-01-21 15:00:00,6634.29,6634.29,6632.85,6632.85,1444928
2016-01-22 09:30:00,6711.82,6744.64,6613.43,6636.71,16917324
2016-01-22 10:00:00,6636.59,6690.49,6604.02,6666.59,8392602
2016-01-22 10:30:00,6667.72,6669.14,6608.42,6625.66,5841970
2016-01-22 11:00:00,6625.93,6628.98,6518.71,6575.54,8782220
2016-01-22 11:30:00,6575.61,6575.74,6573.81,6573.87,121808
2016-01-22 13:00:00,6573.87,6659.86,6573.87,6659.29,5611532
2016-01-22 13:30:00,6658.89,6705.05,6629.44,6695.58,7077244
2016-01-22 14:00:00,6695.8,6743.37,6669.05,6675.11,8786856
2016-01-22 14:30:00,6675.0,6708.71,6667.15,6699.2,8707532
2016-01-22 15:00:00,6700.22,6700.96,6700.22,6700.96,1000640
