Date,open,high,low,close,volume
2016-01-04 09:31:00,8385.0,8385.0,8374.97,8374.97,1426653
2016-01-04 09:32:00,8374.08,8375.28,8370.33,8370.33,635853
2016-01-04 09:33:00,8369.73,8369.73,8361.29,8364.17,602178
2016-01-04 09:34:00,8364.15,8370.92,8363.7,8369.37,543519
2016-01-04 09:35:00,8370.7,8373.98,8370.48,8373.92,572902
2016-01-04 09:36:00,8375.16,8378.99,8375.16,8376.69,622470
2016-01-04 09:37:00,8375.74,8375.74,8369.14,8369.14,675577
2016-01-04 09:38:00,8367.1,8367.1,8349.92,8349.92,670682
2016-01-04 09:39:00,8348.27,8348.27,8327.41,8327.41,774560
2016-01-04 09:40:00,8326.3,8326.3,8305.88,8305.88,748441
2016-01-04 09:41:00,8302.96,8302.96,8290.61,8290.61,895243
2016-01-04 09:42:00,8289.7,8289.7,8286.57,8286.73,787856
2016-01-04 09:43:00,8285.27,8288.93,8285.27,8288.93,721177
2016-01-04 09:44:00,8288.99,8293.68,8287.49,8293.68,698958
2016-01-04 09:45:00,8294.19,8296.62,8292.94,8296.3,641492
2016-01-04 09:46:00,8297.54,8297.54,8290.64,8290.64,650109
2016-01-04 09:47:00,8289.79,8289.79,8268.73,8268.73,815115
2016-01-04 09:48:00,8264.71,8264.71,8245.34,8245.34,884794
2016-01-04 09:49:00,8243.02,8243.02,8219.4,8219.4,946284
2016-01-04 09:50:00,8219.2,8219.2,8207.87,8208.78,977718
2016-01-04 09:51:00,8207.0,8208.27,8203.3,8204.41,928843
2016-01-04 09:52:00,8204.41,8205.04,8200.83,8202.42,891132
2016-01-04 09:53:00,8203.14,8211.6,8203.14,8211.6,718988
2016-01-04 09:54:00,8210.93,8222.95,8210.93,8222.95,661124
2016-01-04 09:55:00,8225.61,8234.01,8225.61,8233.92,626100
2016-01-04 09:56:00,8233.6,8235.67,8233.6,8234.24,571686
2016-01-04 09:57:00,8233.67,8233.67,8226.4,8226.4,636942
2016-01-04 09:58:00,8226.07,8226.09,8216.37,8216.37,531742
2016-01-04 09:59:00,8216.85,8219.02,8215.21,8217.91,573230
2016-01-04 10:00:00,8217.95,8229.25,8217.95,8229.25,470980
2016-01-04 10:01:00,8229.15,8232.14,8227.1,8227.66,557402
2016-01-04 10:02:00,8227.66,8227.66,8216.47,8216.47,593354
2016-01-04 10:03:00,8216.51,8216.51,8206.43,8206.43,645154
2016-01-04 10:04:00,8206.43,8206.43,8189.55,8189.55,677570
