low_0,low_1,low_2,low_3,low_4,low_5,low_6,low_7,low_8,low_9
6740.155000000001,6899.092857142858,7107.493333333333,7226.386666666666,7355.585,7526.67,7624.737142857143,7699.297777777778,7937.684,8200.83
6723.053333333333,6870.328,6971.005,7107.493333333333,7226.386666666666,7355.585,7517.16,7618.4225,7699.297777777778,7937.684
6729.22,6899.092857142858,7107.493333333333,7226.386666666666,7355.585,7490.013333333333,7601.511111111111,7694.322,7831.3,7973.21
6717.496,6870.328,6971.005,7107.493333333333,7226.386666666666,7355.585,7490.013333333333,7606.314,7699.297777777778,7912.7733333333335
6718.606666666667,6870.328,6971.005,7107.493333333333,7226.386666666666,7355.585,7490.013333333333,7606.314,7699.297777777778,7893.38
6718.606666666667,6861.095,6971.005,7107.493333333333,7226.386666666666,7355.585,7517.16,7618.4225,7699.297777777778,7831.3
6718.606666666667,6854.408571428571,6971.005,7107.493333333333,7226.386666666666,7355.585,7490.013333333333,7576.624,7640.941666666667,7703.50625
6718.606666666667,6851.61625,6971.005,7107.493333333333,7226.386666666666,7355.585,7490.013333333333,7576.624,7645.577142857143,7708.616666666667
6718.606666666667,6845.63,6971.005,7107.493333333333,7226.386666666666,7355.585,7490.013333333333,7576.624,7640.941666666667,7703.2283333333335
6718.606666666667,6808.876,6870.328,6971.005,7107.493333333333,7226.386666666666,7355.585,7490.013333333333,7583.546666666667,7674.1140000000005
6718.606666666667,6809.136666666666,6870.328,6971.005,7107.493333333333,7226.386666666666,7355.585,7490.013333333333,7583.546666666667,7670.602222222223
6718.606666666667,6811.5314285714285,6870.328,6971.005,7107.493333333333,7226.386666666666,7338.43,7490.013333333333,7590.362857142857,7675.52
6718.606666666667,6811.5314285714285,6868.738333333334,6971.005,7107.493333333333,7226.386666666666,7338.43,7517.16,7629.84875,7701.9825
6718.606666666667,6811.5314285714285,6865.467142857143,6971.005,7104.181428571428,7188.9925,7273.66,7490.013333333333,7593.053333333333,7680.7242857142855
6718.606666666667,6806.2325,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7338.43,7490.013333333333,7593.053333333333,7681.946666666667
6718.606666666667,6804.8966666666665,6865.467142857143,6971.005,7104.181428571428,7188.9925,7273.66,7517.16,7628.528571428571,7725.35
6718.862857142857,6801.5,6861.2925,6971.005,7107.493333333333,7226.386666666666,7338.43,7517.8775000000005,7628.528571428571,7725.35
6723.38375,6801.5,6861.2925,6971.005,7107.493333333333,7226.386666666666,7338.43,7549.1224999999995,7634.716666666667,7725.35
6689.223333333333,6742.394285714286,6809.36625,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7535.03,7628.528571428571,7725.35
6654.736666666667,6738.1225,6809.36625,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7577.225,7641.312,7725.35
6603.535,6721.698888888889,6801.5,6861.2925,6971.005,7107.493333333333,7226.386666666666,7569.053333333333,7641.312,7725.35
6406.67,6603.535,6721.698888888889,6801.5,6861.2925,6971.005,7107.493333333333,7226.386666666666,7591.316,7691.467500000001
6406.67,6586.83,6721.698888888889,6804.8966666666665,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7581.33,7691.467500000001
6406.67,6573.055,6721.698888888889,6804.8966666666665,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7589.1466666666665,7691.467500000001
6406.67,6570.892,6721.698888888889,6804.8966666666665,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7631.1825,7725.35
6406.67,6577.618333333334,6721.698888888889,6804.8966666666665,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7635.5233333333335,7725.35
6406.67,6549.13,6608.6325,6721.698888888889,6804.8966666666665,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7691.467500000001
6406.67,6549.13,6608.6325,6720.718,6804.8966666666665,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7705.443333333334
6406.67,6549.13,6608.6325,6723.169090909091,6804.8966666666665,6865.467142857143,6971.005,7107.493333333333,7226.386666666666,7725.35
6406.67,6549.13,6608.6325,6723.169090909091,6799.355555555556,6861.2925,6971.005,7107.493333333333,7226.386666666666,7746.85
6406.67,6549.13,6608.6325,6704.02,6758.42875,6822.075,6873.1900000000005,6971.005,7107.493333333333,7226.386666666666
6406.67,6549.13,6608.6325,6704.02,6756.26,6809.36625,6862.14,6971.005,7106.625714285714,7226.386666666666
6406.67,6549.13,6608.6325,6704.02,6752.5542857142855,6800.541111111111,6858.7988888888885,6971.005,7106.799999999999,7226.386666666666
6406.67,6549.13,6608.6325,6704.02,6760.706363636364,6822.075,6873.1900000000005,6971.005,7107.003333333333,7226.386666666666
6406.67,6549.13,6608.6325,6704.02,6762.045833333334,6816.05375,6865.467142857143,6971.005,7107.243636363636,7226.386666666666
6406.67,6549.13,6608.6325,6699.992,6743.918571428571,6788.545833333334,6855.509,6971.005,7107.531999999999,7226.386666666666
6406.67,6549.13,6612.978,6704.02,6762.631538461538,6816.05375,6865.467142857143,6971.005,7107.884444444444,7226.386666666666
6406.67,6549.13,6616.953333333333,6704.02,6756.685,6800.541111111111,6858.7988888888885,6971.005,7108.325,7226.386666666666
6406.67,6549.13,6613.585714285714,6708.4457142857145,6767.1861538461535,6825.171111111111,6873.1900000000005,6971.005,7108.891428571428,7226.386666666666
6406.67,6549.13,6611.24375,6708.4457142857145,6769.368571428571,6845.75,6971.005,7062.78,7133.08,7226.386666666666
6406.67,6549.13,6613.1,6708.4457142857145,6769.368571428571,6845.75,6971.005,7062.78,7142.653333333333,7226.386666666666
6406.67,6539.6275,6618.85,6730.617272727272,6788.545833333334,6854.6466666666665,6971.005,7062.78,7142.653333333333,7226.386666666666
6406.67,6539.6275,6621.2072727272725,6730.617272727272,6788.545833333334,6854.6466666666665,6971.005,7062.78,7147.004999999999,7226.386666666666
6406.67,6539.6275,6620.1075,6730.617272727272,6788.545833333334,6854.6466666666665,6971.005,7062.78,7188.9925,7252.07
6406.67,6539.6275,6616.7075,6708.4457142857145,6764.934166666667,6816.05375,6865.833333333333,6971.005,7062.78,7226.386666666666
6406.67,6539.6275,6616.7075,6701.557142857143,6762.631538461538,6816.05375,6865.833333333333,6971.005,7062.78,7222.884
6406.67,6539.6275,6616.7075,6700.76625,6762.631538461538,6822.075,6875.67,6971.005,7062.78,7214.67
6406.67,6539.6275,6616.7075,6700.76625,6761.8435714285715,6812.797142857143,6861.978571428572,6971.005,7062.78,7200.703333333333
6406.67,6539.6275,6616.7075,6700.76625,6761.046,6816.05375,6865.833333333333,6971.005,7062.78,7196.9400000000005
6406.67,6539.6275,6616.7075,6703.238888888889,6753.777272727273,6798.165,6858.24,6971.005,7062.78,7200.3
6406.67,6539.6275,6616.7075,6693.595,6741.126666666667,6780.321111111111,6822.746666666667,6865.833333333333,6971.005,7062.78
6406.67,6539.6275,6616.7075,6696.777142857143,6741.126666666667,6780.321111111111,6828.6,6875.67,6977.49,7062.78
6406.67,6539.6275,6616.7075,6693.595,6737.957857142857,6780.321111111111,6828.6,6875.67,6977.49,7054.62
6406.67,6539.6275,6616.7075,6685.365,6717.328750000001,6747.326666666667,6780.321111111111,6828.6,6875.67,6977.49
6406.67,6539.6275,6604.395714285714,6640.053333333333,6711.296666666667,6747.326666666667,6780.321111111111,6819.526,6856.393333333333,6977.49
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6685.365,6718.3,6747.326666666667,6780.321111111111,6822.265714285714,6859.902
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6685.365,6718.3,6747.326666666667,6780.321111111111,6822.9025,6858.8225
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6685.365,6718.3,6747.326666666667,6780.321111111111,6822.9025,6859.5625
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6685.365,6718.3,6747.326666666667,6780.321111111111,6825.4511111111115,6882.53
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6685.365,6718.3,6748.8675,6780.321111111111,6828.985,6906.99
6406.67,6539.6275,6604.395714285714,6640.053333333333,6711.296666666667,6749.375714285714,6780.321111111111,6825.4511111111115,6882.53,6952.9
6406.67,6539.6275,6604.395714285714,6640.053333333333,6713.337272727273,6749.375714285714,6780.321111111111,6828.985,6908.7075,6971.63
6406.67,6539.6275,6604.395714285714,6640.053333333333,6713.337272727273,6749.651666666667,6780.321111111111,6825.4511111111115,6890.3625,6951.223333333333
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6713.337272727273,6749.651666666667,6780.321111111111,6828.985,6910.508,6959.75
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6749.651666666667,6780.321111111111,6825.4511111111115,6871.046666666667,6931.15
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6749.651666666667,6780.321111111111,6826.76625,6877.0,6937.048
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6749.651666666667,6780.321111111111,6829.82,6877.0,6937.048
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6749.651666666667,6780.321111111111,6831.3075,6877.0,6937.048
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6749.651666666667,6778.14375,6833.125555555555,6870.835,6931.15
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6764.439230769231,6833.125555555555,6869.444,6911.076666666667,6951.223333333333
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6749.651666666667,6777.114285714286,6835.96125,6870.596666666666,6931.15
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6764.265714285714,6837.398571428572,6870.596666666666,6916.85,6959.75
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6751.417142857143,6777.114285714286,6834.375,6877.408333333333,6937.048
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6751.417142857143,6777.114285714286,6832.737142857143,6875.081428571429,6937.048
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6763.890769230769,6832.737142857143,6870.651666666667,6908.545,6951.223333333333
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6712.255,6761.364166666666,6832.737142857143,6870.651666666667,6908.545,6947.355
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6711.35,6761.364166666666,6834.93625,6870.651666666667,6908.545,6947.355
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6711.35,6763.025,6834.93625,6870.651666666667,6908.545,6947.355
6406.67,6539.6275,6604.395714285714,6633.9439999999995,6711.74125,6762.3546153846155,6827.504,6860.0925,6903.864,6947.355
6406.67,6539.6275,6604.335,6633.991666666667,6711.74125,6762.3546153846155,6830.248333333333,6862.395714285714,6903.864,6947.355
6406.67,6539.6275,6604.74,6633.828571428571,6711.74125,6762.3546153846155,6834.93625,6870.651666666667,6908.545,6947.355
6539.6275,6606.1883333333335,6633.828571428571,6711.74125,6751.314285714286,6775.235,6834.93625,6870.651666666667,6908.545,6947.355
6535.03,6605.878571428571,6633.828571428571,6711.74125,6749.531666666667,6773.345714285714,6830.248333333333,6862.395714285714,6903.864,6947.355
6536.68,6606.19625,6633.828571428571,6711.74125,6749.531666666667,6773.345714285714,6834.93625,6870.651666666667,6908.545,6947.355
6514.915,6606.19625,6633.828571428571,6711.74125,6749.531666666667,6773.345714285714,6834.93625,6870.651666666667,6908.545,6947.355
6514.915,6601.516250000001,6633.828571428571,6711.74125,6749.531666666667,6773.345714285714,6834.93625,6870.651666666667,6908.545,6947.355
6514.915,6596.22375,6633.828571428571,6711.74125,6751.314285714286,6775.235,6834.93625,6870.651666666667,6908.545,6947.355
6514.915,6596.22375,6633.28,6711.72,6751.314285714286,6775.235,6832.737142857143,6867.748571428571,6917.35,6959.75
6514.915,6593.765714285714,6631.074444444444,6683.6866666666665,6723.536666666667,6765.612727272727,6834.93625,6870.651666666667,6917.35,6959.75
6514.915,6596.22375,6633.28,6674.326666666667,6715.876666666667,6761.884545454545,6834.93625,6870.651666666667,6908.545,6947.355
6514.915,6593.765714285714,6631.074444444444,6679.5525,6716.708333333334,6761.884545454545,6824.6675,6862.875555555555,6908.545,6947.355
