low_0,low_1,low_2,low_3,low_4,low_5,low_6,low_7,low_8,low_9
15.247998,15.71890616,15.99692563,16.59884889,16.91524048,17.23615265,17.64789804,18.22003269,18.56039397,18.88090875
15.28945605,15.71890616,15.99692563,16.59884889,16.93525366,17.37737703,17.73773813,18.22003269,18.55534118,18.88090875
15.35948467,15.71890616,15.99692563,16.59884889,16.93372567,17.37737703,17.73773813,18.22003269,18.55534118,18.88090875
15.6657156,15.99692563,16.59884889,16.8515079,17.04189224,17.37737703,17.73773813,18.22003269,18.52952957,18.86383896
15.71890616,15.99692563,16.58304151,16.80342817,17.0067215,17.37737703,17.73773813,18.22003269,18.52952957,18.86383896
15.70745722,15.99692563,16.59884889,16.89015811,17.32897873,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
15.70057535,15.99692563,16.56281319,16.79284248,16.99321246,17.37737703,17.73773813,18.22003269,18.52952957,18.86383896
15.60085106,15.99692563,16.59884889,16.84511598,17.04189224,17.37737703,17.73773813,18.22003269,18.55534118,18.88090875
15.99692563,16.59884889,16.84139912,17.04189224,17.37737703,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.00984335,16.59884889,16.84500572,17.04189224,17.37737703,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.01251278,16.59884889,16.84500572,17.09593987,17.59184189,17.98836422,18.31537771,18.54944954,18.81124902,19.07419872
16.03372145,16.59884889,16.88890216,17.22747707,17.59184189,17.98836422,18.27719371,18.52952957,18.79511697,19.02419027
16.05213579,16.59884889,16.84906578,17.0565567,17.37737703,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.05117655,16.59884889,16.89289302,17.22747707,17.59184189,17.98836422,18.31537771,18.54944954,18.81124902,19.07419872
16.18318367,16.60885882,16.84906578,17.02145032,17.3421917,17.73773813,18.22003269,18.52952957,18.79511697,19.02419027
16.51851877,16.78913498,16.95898212,17.22747707,17.59184189,17.98836422,18.27719371,18.52952957,18.79511697,19.02419027
16.28540993,16.62562561,16.84906578,17.02145032,17.3421917,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.28540993,16.61407825,16.84906578,17.02145032,17.3421917,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.34768041,16.6008091,16.84906578,17.02145032,17.3421917,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.28319931,16.58243942,16.85190555,17.02145032,17.3421917,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.24080276,16.58243942,16.85333428,17.02145032,17.3421917,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.01476479,16.39293416,16.77795965,16.9736824,17.3421917,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.01476479,16.39460863,16.75650624,16.93761662,17.22747707,17.59184189,17.98836422,18.27719371,18.52952957,18.86383896
16.1758255,16.5510867,16.85846281,17.02145032,17.3421917,17.73773813,18.22003269,18.52952957,18.79511697,19.02419027
16.01476479,16.31356335,16.56849698,16.85751672,17.02145032,17.3421917,17.73773813,18.22003269,18.52952957,18.86383896
16.01476479,16.34529495,16.63402666,16.91801202,17.307724,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.1758255,16.55158281,16.85751672,17.04395032,17.37737703,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.1758255,16.54212549,16.9079237,17.22747707,17.59184189,17.98836422,18.27719371,18.52952957,18.81124902,19.07419872
16.01476479,16.4166389,16.72281623,16.93777899,17.307724,17.73773813,18.22003269,18.52952957,18.79511697,19.02419027
16.01476479,16.31356335,16.56537098,16.90362027,17.307724,17.73773813,18.22003269,18.52952957,18.79511697,19.02419027
15.91591644,16.24080276,16.54929943,16.88282029,17.16791752,17.59184189,17.98836422,18.42345476,18.7733674,19.02419027
16.1758255,16.54929943,16.87257715,17.16791752,17.55488809,17.98836422,18.27719371,18.52952957,18.81124902,19.07419872
16.1758255,16.54929943,16.86133633,17.10193507,17.37592545,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
16.1758255,16.54929943,16.86133633,17.09813363,17.35510445,17.73773813,18.22003269,18.52952957,18.79511697,19.02419027
15.91591644,16.2735733,16.56537098,16.88644902,17.19288699,17.73773813,18.22003269,18.52952957,18.79511697,19.02419027
15.91591644,16.2735733,16.56537098,16.87257715,17.15603085,17.73773813,18.22003269,18.52952957,18.79511697,19.02419027
16.1758255,16.54929943,16.87257715,17.1633131,17.67425791,17.98836422,18.27719371,18.52952957,18.81124902,19.07419872
15.91591644,16.2735733,16.56537098,16.87257715,17.1562561,17.73773813,18.22003269,18.52952957,18.81124902,19.07419872
15.91591644,16.24080276,16.54929943,16.87257715,17.17426508,17.75266965,18.22003269,18.52952957,18.79511697,19.02419027
16.1758255,16.54929943,16.87257715,17.13249355,17.41024335,17.88797188,18.27719371,18.52952957,18.79511697,19.02419027
16.1758255,16.54929943,16.87257715,17.13249355,17.42723942,17.98836422,18.27719371,18.52952957,18.79511697,19.02419027
16.01476479,16.31356335,16.56537098,16.87257715,17.13249355,17.46541519,18.22003269,18.52952957,18.79511697,19.02419027
16.1758255,16.54929943,16.87257715,17.13249355,17.46541519,17.89414406,18.27719371,18.52952957,18.81124902,19.07419872
16.1758255,16.54929943,16.87257715,17.13249355,17.46541519,17.91453934,18.33008003,18.54944954,18.81124902,19.07419872
16.01476479,16.38356209,16.6096096,16.87257715,17.13249355,17.46541519,17.92375692,18.49470901,18.79511697,19.02419027
15.91591644,16.24080276,16.54929943,16.87257715,17.13249355,17.46541519,17.88801289,18.49470901,18.82568305,19.07419872
16.01476479,16.31356335,16.56537098,16.87257715,17.13249355,17.46541519,17.85130119,18.48656972,18.82568305,19.07419872
15.91591644,16.2735733,16.56537098,16.87257715,17.13249355,17.48415057,17.85130119,18.48656972,18.82828681,19.07419872
16.01476479,16.31356335,16.56537098,16.87257715,17.13249355,17.48394803,17.85130119,18.48656972,18.83443451,19.07419872
16.01476479,16.31356335,16.56537098,16.87257715,17.13249355,17.48817563,17.85130119,18.48656972,18.8119998,19.07419872
16.01476479,16.31356335,16.56537098,16.87257715,17.13249355,17.48031362,17.85130119,18.48656972,18.82415771,19.07419872
16.01476479,16.38356209,16.6096096,16.87257715,17.13249355,17.48031362,17.86469809,18.48656972,18.82432461,19.07419872
15.91591644,16.2735733,16.56537098,16.87257715,17.13249355,17.46308804,17.70111783,17.94779778,18.48656972,18.93101438
15.91591644,16.2735733,16.56537098,16.87257715,17.13249355,17.48031362,17.88917487,18.24799824,18.52672653,18.82432461
16.01476479,16.31356335,16.56537098,16.87257715,17.13249355,17.46308804,17.70111783,17.94779778,18.25959333,18.56827641
15.91591644,16.2735733,16.56537098,16.87257715,17.13249355,17.46308804,17.70111783,17.94779778,18.22691488,18.56556511
16.01476479,16.38356209,16.6096096,16.87257715,17.13249355,17.46308804,17.70111783,17.94779778,18.22817841,18.58802509
16.01476479,16.31356335,16.56537098,16.87257715,17.13249355,17.46308804,17.70111783,17.94779778,18.22817841,18.48298264
16.01476479,16.31356335,16.56537098,16.87257715,17.13249355,17.44669669,17.67029524,17.94779778,18.22817841,18.43418407
16.01476479,16.31356335,16.56537098,16.87257715,17.13249355,17.44669669,17.67029524,17.9693025,18.21377659,18.43418407
16.01476479,16.28319931,16.4833587,16.67042007,16.88390903,17.13249355,17.48031362,17.85835838,18.161328,18.43560219
15.91591644,16.24080276,16.54929943,16.87257715,17.13249355,17.44669669,17.63346672,17.88052341,18.112988,18.32444954
15.91591644,16.24080276,16.4833587,16.67042007,16.88024139,17.13249355,17.48031362,17.79169159,17.9693025,18.27281475
16.01476479,16.31356335,16.56537098,16.87384605,17.13249355,17.44669669,17.61280012,17.86961961,18.08058039,18.30160179
16.01476479,16.31356335,16.56537098,16.88816953,17.13249355,17.43064472,17.59379387,17.86961961,18.1370369,18.35485522
16.01476479,16.31356335,16.56537098,16.89836284,17.13249355,17.38682413,17.55452323,17.86961961,18.1370369,18.36943197
16.01476479,16.31356335,16.56537098,16.89831511,17.13249355,17.46609097,17.74339333,17.95363208,18.21377659,18.43155622
16.01476479,16.38356209,16.6096096,16.90705719,17.13249355,17.47991163,17.85126792,18.161328,18.43155622,18.77502441
16.01476479,16.38356209,16.6096096,16.93462229,17.13249355,17.47991163,17.85126792,18.161328,18.43155622,18.74549484
15.91591644,16.24080276,16.54929943,16.94886589,17.13249355,17.47991163,17.85126792,18.161328,18.43155622,18.72439067
16.01476479,16.31356335,16.56537098,17.09582311,17.47991163,17.85126792,18.1370369,18.40180168,18.7536912,
16.01476479,16.38356209,16.6096096,16.93080616,17.12387395,17.47991163,17.85126792,18.161328,18.43155622,18.75795784
16.01476479,16.31356335,16.56537098,17.10518858,17.41804282,17.57920424,17.86961961,18.1370369,18.40180168,18.7935435
16.01476479,16.31356335,16.56537098,17.12387395,17.47991163,17.85126792,18.1370369,18.40180168,18.81956945,
16.01476479,16.31356335,16.55117631,17.12387395,17.47991163,17.85126792,18.161328,18.43155622,18.75795784,18.98431778
15.91591644,16.2220548,16.53489621,17.12387395,17.47991163,17.85126792,18.161328,18.43155622,18.75795784,18.98360872
16.01476479,16.40553045,16.5784537,17.12387395,17.47991163,17.85126792,18.161328,18.43155622,18.75795784,19.01821823
16.10276922,16.53447223,17.12387395,17.47991163,17.85126792,18.1370369,18.40180168,18.75795784,19.01821823,19.50850868
16.10276922,16.54336521,17.12387395,17.47991163,17.85126792,18.161328,18.43155622,18.75795784,19.01821823,19.43581104
16.01476479,16.54336521,17.12387395,17.47991163,17.85126792,18.161328,18.43155622,18.75795784,19.01821823,19.45845858
15.91591644,16.54336521,17.12387395,17.47991163,17.85126792,18.161328,18.43155622,18.75795784,19.01821823,19.47353601
16.54336521,17.12387395,17.38682413,17.53310449,17.85126792,18.161328,18.43155622,18.75795784,19.01821823,19.47157173
16.5664835,17.12387395,17.43064472,17.59379387,17.86961961,18.1370369,18.40180168,18.75795784,19.01821823,19.50905069
16.55360413,17.12387395,17.47991163,17.85126792,18.1370369,18.40180168,18.75795784,19.01821823,19.47157173,19.79917336
16.56037331,17.12387395,17.47991163,17.85126792,18.161328,18.43155622,18.75795784,19.01821823,19.47157173,19.80430412
16.52410825,17.12387395,17.47991163,17.85126792,18.161328,18.43155622,18.75795784,19.01821823,19.47157173,19.80330324
