high_0,high_1,high_2,high_3,high_4,high_5,high_6,high_7,high_8,high_9
222.8472557,230.0762482,239.864624,247.27775,255.0936035,261.977005,266.8022461,277.3835999,284.9824982,295.4569964
222.8472557,230.0823313,239.864624,247.27775,255.0936035,261.0847549,266.2905945,278.0974986,285.6455994,295.4569964
222.8472557,230.0823313,239.9302848,247.27775,255.0936035,261.2274048,266.2905945,277.3835999,284.9824982,295.4569964
222.8472557,229.8684998,239.9302848,247.27775,255.1582753,261.2274048,266.2905945,277.3835999,284.9824982,295.4569964
224.1654053,239.9302848,247.27775,255.0490023,261.2274048,266.2905945,278.0974986,285.6455994,293.4189911,298.1743368
222.8472557,239.9302848,247.1488885,255.0490023,261.2274048,266.2905945,277.3835999,284.9824982,293.4189911,298.1743368
222.4706726,239.9302848,246.8033997,255.0490023,261.2274048,266.2905945,277.3835999,284.9824982,293.4189911,298.1743368
222.8025055,239.8811245,246.8033997,255.0490023,261.2274048,266.2905945,277.3835999,284.9824982,293.4189911,298.1743368
222.1990051,239.6418881,246.8033997,255.0490023,261.2274048,266.2905945,277.3835999,284.9824982,293.4189911,298.1743368
239.0044437,244.8169988,248.3608002,255.0490023,261.2274048,266.2905945,277.3835999,284.9824982,293.4189911,298.1743368
224.9759979,239.2725542,246.8033997,255.0490023,261.2274048,266.2905945,277.3835999,284.9824982,293.4189911,298.1743368
224.4044952,239.2725542,246.8033997,255.0490023,261.5822525,266.2905945,277.3835999,284.9824982,293.4189911,298.1743368
226.1603292,239.2725542,246.8033997,255.0490023,262.570165,268.375,277.3835999,284.9824982,293.4189911,298.1743368
226.8467484,239.2414989,246.8033997,255.0490023,261.5822525,266.460495,277.3835999,284.9824982,293.4189911,298.1743368
226.3405975,239.2414989,246.917667,255.0490023,262.1145996,267.1993306,277.3835999,284.9824982,293.4189911,298.1743368
226.3426641,239.2414989,247.2509995,255.0490023,262.570165,268.375,277.3835999,284.9824982,293.4189911,298.1743368
226.3438546,238.7514278,247.2509995,255.0490023,262.570165,268.375,277.3835999,284.9824982,293.4189911,298.1743368
226.3438546,238.316124,247.2724282,255.0490023,262.1145996,267.1993306,277.3835999,284.9824982,293.4189911,298.1743368
226.3438546,238.2708876,247.2724282,255.0243655,262.570165,268.375,277.3835999,284.9824982,293.4189911,298.1743368
226.3438546,238.0912994,247.4191666,255.0243655,262.1145996,267.1993306,278.0974986,285.6455994,293.4189911,298.1743368
226.3438546,237.7108994,247.4191666,255.0243655,262.570165,268.375,277.3835999,284.9824982,293.4189911,298.1743368
225.1657959,230.3796692,237.4675547,247.4191666,255.0243655,262.570165,268.375,277.3835999,284.9824982,295.4569964
226.4188728,236.7143334,247.4191666,255.0243655,262.1145996,267.1993306,278.0974986,285.6455994,293.4189911,298.1743368
226.4188728,236.2248874,247.4191666,255.0243655,262.1145996,267.1993306,277.3835999,284.9824982,293.4189911,298.1743368
225.4621633,230.7877991,237.1654271,247.4191666,254.8615005,261.5822525,266.460495,277.3835999,284.9824982,295.4569964
225.6875676,230.7877991,237.1654271,247.4191666,254.8803338,262.570165,268.375,277.3835999,284.9824982,295.4569964
225.6875676,230.7877991,237.4651241,247.4191666,254.8803338,264.3587123,277.3835999,284.9824982,293.4189911,298.1743368
225.6875676,230.7877991,237.6318885,247.4191666,254.8803338,262.2282486,267.1993306,278.4567993,285.6455994,295.4569964
225.6875676,230.7877991,237.4414001,247.4191666,254.8803338,262.7521973,268.375,278.4567993,285.6080017,295.4569964
225.6875676,230.7877991,237.4414001,246.8221436,254.8803338,262.7521973,268.375,277.6542511,284.9684982,295.4569964
225.6875676,230.7877991,237.4414001,246.2991257,254.8803338,262.7521973,268.375,277.6542511,286.0690002,295.4569964
225.6875676,230.7877991,237.601636,243.1906687,248.1641998,254.8803338,264.3587123,277.6696676,286.0690002,295.4569964
226.7885971,235.8667984,240.9774301,248.1641998,254.8803338,262.2282486,267.1993306,277.5774994,286.0690002,295.4569964
225.6875676,230.7877991,237.628999,243.9225006,248.6757507,254.8803338,263.4606628,273.5220032,286.0690002,295.4569964
225.6875676,230.7877991,237.628999,244.3929993,248.6757507,254.8803338,264.3587123,277.2969971,286.0690002,295.916331
225.6875676,230.7877991,237.628999,243.1906687,247.8428563,254.8803338,264.3587123,277.2969971,286.0690002,295.0907959
225.6875676,230.7877991,237.628999,243.4099998,247.8428563,254.8803338,263.4606628,273.5220032,286.0690002,294.5157471
225.6875676,230.7877991,237.628999,243.5820007,247.8428563,254.8803338,263.4606628,273.5220032,286.0690002,293.6583252
225.6875676,230.7877991,237.628999,243.4651667,247.8428563,254.8803338,264.3587123,277.2969971,286.0690002,293.2384949
225.6875676,230.7877991,237.628999,243.499285,247.8428563,254.8803338,264.3587123,277.2969971,285.9324951,293.2384949
225.6875676,230.7877991,237.6411416,243.499285,247.8428563,254.8803338,262.2282486,267.1993306,281.3164978,293.2384949
225.6875676,230.7877991,237.7152659,243.499285,247.8428563,254.8803338,262.2282486,267.1993306,277.2969971,288.8504944
225.6875676,230.7877991,237.7141247,243.499285,247.8428563,254.8803338,262.7521973,268.375,277.2969971,285.3359985
225.6875676,230.1585007,235.7814266,238.5714541,243.499285,247.8428563,254.8803338,262.7521973,268.375,277.2969971
225.6875676,230.1585007,235.9599991,238.5714541,243.499285,247.8428563,254.8803338,262.3792496,268.375,277.2969971
225.6875676,229.357666,234.2026001,237.9790621,243.499285,247.8428563,254.8803338,261.5563354,268.375,277.2969971
225.6875676,230.1585007,235.4782206,238.4580002,243.499285,247.8428563,254.8803338,261.236496,268.375,277.2969971
225.6875676,229.357666,235.1171997,238.3408461,243.499285,247.8428563,254.8803338,261.236496,267.0029907,277.2969971
225.1657959,228.4113983,233.9937988,237.0421664,239.4424286,243.499285,247.8428563,254.8803338,261.236496,267.0029907
224.3749949,226.6719971,229.357666,233.9937988,237.0421664,239.6402493,243.499285,247.8428563,254.8803338,261.236496
224.3749949,226.6719971,229.357666,233.9937988,237.0421664,239.6402493,243.309124,247.6183319,254.8803338,261.236496
224.3749949,226.6719971,229.357666,233.9937988,237.0421664,239.7936656,243.309124,247.6183319,254.946125,261.236496
225.6875676,229.357666,233.6749992,236.3271255,238.544,241.2482452,243.499285,247.6183319,254.6797137,261.236496
225.6875676,229.357666,233.6749992,236.3271255,238.551077,241.2482452,243.499285,247.6183319,254.7588323,261.236496
225.1657959,228.4113983,233.6749992,236.3271255,238.4991433,241.2482452,243.499285,247.6183319,255.0827972,261.236496
225.6875676,229.357666,233.9937988,236.6087513,238.4991433,241.2482452,243.499285,247.2935974,255.0827972,261.236496
225.6875676,229.357666,233.6749992,236.412223,238.4340007,241.2482452,243.499285,246.9344978,255.0827972,261.236496
225.6875676,229.357666,233.5903992,236.412223,238.4340007,241.2482452,243.499285,246.7323303,255.0827972,261.236496
225.6875676,229.357666,232.9963989,236.2393005,238.4340007,241.2482452,243.499285,246.7323303,255.2382469,261.236496
225.7786217,229.357666,232.9963989,236.2393005,238.4340007,241.2482452,243.499285,246.7323303,254.9699961,261.236496
224.3749949,226.7513326,229.357666,233.5619986,237.1991882,239.6778992,243.309124,246.7323303,254.8259964,261.236496
224.3749949,226.7269985,229.9464989,233.8701655,237.1991882,239.6778992,243.309124,246.7323303,254.8259964,261.7980042
224.3749949,226.6321239,229.357666,233.2774989,236.412223,238.4340007,241.2482452,243.499285,246.7323303,254.8259964
224.3749949,226.5306651,229.357666,233.2774989,236.412223,238.4340007,241.2482452,243.499285,246.7323303,253.8470001
224.3749949,226.4969986,229.357666,232.9963989,235.8792855,237.6349099,239.1091439,241.2482452,243.499285,246.7323303
224.3749949,226.4969986,229.3842506,232.9963989,235.8792855,237.6349099,239.1091439,241.2482452,243.499285,247.0394974
224.3749949,226.4969986,229.6981995,232.9963989,235.8792855,237.6349099,239.1091439,241.2482452,243.4668325,247.0394974
