Date,open,high,low,close,volume,rsi,stochk,stochd,cci,willr,mom,roc,trix,trixs,cmo,sma_50,sma_200,ema_10,ema_20,ema_50,ema_200,macd,macdh,macds,tema,kama,wma,action,support,resistance,support_percent,resistance_percent,near_support,near_resistance,open_norm,high_norm,low_norm,close_norm
2012-10-16,136.8522186279297,137.3926544189453,135.53114318847656,135.95147705078125,5939925,58.72150509071713,45.6199152841373,41.53296773335077,-24.21230048614311,-51.428550685355845,-0.9007415771484375,-0.658185586013297,-0.08023402186139172,0.10624956728659447,2.716383016616548,130.53744049072264,120.08797199249267,135.86168282788617,134.9971527450174,131.19143213679982,120.08797199249267,1.0058986038896762,-0.6727841604507678,1.678682764340444,135.7094754078664,136.1123021150916,135.5711659749349,None,135.1408138,136.3317922,0.0059986559795399685,0.0027896292059361727,0,0,0.6250773918764907,0.6267555380551858,0.6239017130998025,0.6219747046392223
2012-10-17,136.73211669921875,137.6328582763672,136.43186950683594,137.57281494140625,4708219,64.16507436682049,54.952672823767735,47.73841002103035,39.860177346020194,-35.06476363336358,0.0,0.0,-0.0172927818059887,0.06907737604188292,39.633213390076605,130.75241683959962,120.22458404541015,136.17279775761708,135.24245390657825,131.44168244286283,120.26195052929778,1.1368461857394152,-0.4334692628808232,1.5703154486202384,137.0239522373593,136.63766968560418,136.31177571614583,None,137.3526255,137.9931544,0.0016030959772681541,0.0030460892094351655,0,0,0.6243400598526063,0.6282308548372212,0.6294488106289454,0.6318937876953465
2012-10-18,136.97232055664062,138.59364318847656,136.91226196289062,136.97232055664062,7184221,60.95868968206503,55.151624924863235,51.908071010922754,55.044884180806946,-48.05181090669086,-0.8406829833984375,-0.6100171695004037,0.028619058566903277,0.035397002568498474,18.767724536258832,130.96859420776366,120.35218868255615,136.3181655392577,135.4072031113461,131.65857021203058,120.42822286787832,1.1276159974167115,-0.35415956096282164,1.4817755583795331,137.15857316066942,136.68781523316477,136.66006266276042,None,136.8221912,138.0431951,0.00109725882420042,0.007757532289683788,0,0,0.6258147239003751,0.6341319345283428,0.6324072939680951,0.6282200601449897
2012-10-19,135.17083740234375,135.2909393310547,131.3276824951172,132.28848266601562,17965240,42.93610262289243,43.03243848985554,51.045578746162164,-211.0823938823276,-87.78610999037895,-6.5453643798828125,-4.714530728028387,-0.07090509380831556,-0.0059334684806295395,-51.66037877178367,131.08508987426757,120.4566743850708,135.58549592594096,135.11018211655272,131.68327266120647,120.54623540318316,0.4832600604920003,-0.7988123983100262,1.2820724588020265,133.87265950541106,136.36386219069826,135.32697143554688,None,130.8773193,133.5695292,0.01078233702801401,0.009590859095312099,0,0,0.6147550245732456,0.6138469379456711,0.5980148194333066,0.5995650972731716
2012-10-22,131.26763916015625,131.80809020996094,127.6046371459961,130.30685424804688,14443996,37.83897071528364,29.15938611118639,42.44781650863505,-255.5095271539608,-76.68392076937104,-7.3260040283203125,-5.322859758975342,-0.2391474597726151,-0.055272368171233044,-63.200691821395154,131.15714904785156,120.54824947357177,134.62574289359657,134.65272231955217,131.62929546853354,120.6433559887042,-0.2423218096020321,-1.219515414723247,0.9771936051212149,131.0537109192252,135.15382202731297,133.51348470052082,None,128.1751022,131.9682159,0.016631561133616746,0.012589104434146625,0,0,0.5907924363748437,0.5924555006357278,0.575086550062191,0.587441815027155
2012-10-23,128.2051239013672,128.50537109375,127.30438995361328,127.78478240966795,9375189,32.54367979444391,13.190120537924498,28.460648379655467,-228.66761346738642,-95.95960762647654,-8.046592712402358,-5.923957336934095,-0.44491281618487255,-0.11315904373163901,-73.33004770348487,131.1919775390625,120.62090904235839,133.38193189651864,133.9986328043251,131.47853025053882,120.71441495806704,-1.0816452559283505,-1.6470710888396523,0.5654258329113018,128.18223196530343,133.34436559071148,131.2356155395508,None,125.7205915,128.2651749,0.016418876852547726,0.0037453072566780987,0,0,0.5719909849895417,0.5721704103345463,0.5732374862288698,0.5720121873208976
2012-10-24,128.68551635742188,128.8656768798828,127.54458618164062,127.66468811035156,7043470,32.31180085920741,10.12893265607213,17.492813101727666,-156.2345132416996,-96.96967363593605,-7.0257568359375,-5.2162251292132735,-0.5972057369052264,-0.17743759796861788,-73.75996170844263,131.23040908813476,120.69717159271241,132.34243302630642,133.3953999763276,131.32896781366875,120.78357190485595,-1.6690248177677347,-1.7875605205432292,0.11853570277549452,127.06133562447289,130.8200644883293,129.4621612548828,None,125.7205915,128.4653422,0.015463629204700124,0.006232452083472895,0,0,0.5749402194080337,0.5743833855075993,0.5747167278984447,0.5712774698160676
2012-10-25,129.10586547851562,129.52621459960938,126.28355407714844,127.66468811035156,7622011,32.31180085920741,6.096749287648861,9.805267493881825,-124.24318685835541,-88.78047087464086,-7.5061492919921875,-5.553083369343717,-0.6739137388932281,-0.24308312514250943,-73.75996170844263,131.2664387512207,120.76863021850586,131.49193395067826,132.84961789385372,131.18527057040143,120.85204072282109,-2.0506260267901837,-1.7353293836525425,-0.31529664313764116,126.82545481579868,129.41767498700588,128.34924875895183,None,125.7831429,128.4653422,0.01495864363834043,0.006232452083472895,0,0,0.5775208346531064,0.5784403660804316,0.5669506973868241,0.5712774698160676
2012-10-26,127.2443389892578,128.50537109375,126.52375030517578,126.76394653320312,7132047,30.42603739237981,6.05076141158026,7.425481118433747,-110.16043645160234,-96.09757125468235,-8.22674560546875,-6.094305818520926,-0.7095947501942756,-0.3116208156510012,-77.92934982593303,131.27364471435547,120.83408390045166,130.63229987477368,132.27003014522035,131.0118853140407,120.91086565625774,-2.3972974720519744,-1.6656006631314666,-0.7316968089205078,126.31018264589116,128.23824011864912,127.55659790039063,None,125.9099138,128.4753494,0.006782887124835213,0.013320865635231938,0,0,0.5660925161525573,0.5721704103345463,0.5684299390563989,0.5657668784905325
2012-10-31,127.66468811035156,128.0249786376953,125.92325592041016,126.46369934082033,6524529,29.80168426397009,6.46245452268023,6.203321740636446,-97.79545100779698,-95.73459430263614,-9.487777709960923,-6.97879707950286,-0.7071134484906039,-0.38127408527646917,-79.29982340892667,131.28085052490235,120.9007385635376,129.87437250496396,131.71704625908703,130.83352507979677,120.96611773272106,-2.6334148430135826,-1.5213744272744598,-1.1120404157391228,126.051567529958,127.44955532850298,127.03216705322265,None,126.0862481,126.6738714,0.0029935956260747076,0.0016591587267117403,0,0,0.56867313139763,0.5692198704889855,0.5647318113897567,0.5639300147153541
