high_0,high_1,high_2,high_3,high_4,high_5,high_6,high_7,high_8,high_9
120.8490982,124.6107516,125.7981561,126.8731252,129.9665731,132.0482788,133.5695292,134.7805214,136.3317922,138.029184
121.0592728,124.6107516,125.7981561,126.8731252,129.9665731,132.0482788,133.5695292,134.7805214,136.3317922,137.9931544
124.5321159,125.5496182,126.4473232,127.3494244,129.9665731,132.0482788,133.5695292,134.7805214,136.3317922,138.0431951
124.7565853,125.9661506,127.0416727,129.9665731,132.0482788,133.5695292,134.882605,136.3317922,137.8130069,138.7337596
124.578154,125.5496182,126.4817146,127.3494244,129.9665731,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
124.6622225,125.7364383,126.7148139,128.2651749,129.9665731,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
124.6622225,125.8298484,126.7579399,128.4653422,129.9665731,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
124.6622225,125.7688457,126.7148139,128.4653422,129.8564835,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
124.7342819,125.6930695,126.6738714,128.4753494,129.8564835,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
124.7342819,125.6110016,126.6738714,128.3852753,129.8564835,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
124.7342819,125.6110016,126.6274698,128.395284,129.8564835,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
125.0150118,126.4386794,128.395284,129.9225372,131.9682159,133.5695292,134.882605,136.3317922,137.8130069,138.7337596
124.7342819,125.6110016,126.5571094,128.4710606,129.9225372,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
124.9281551,126.3108472,128.4710606,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,137.8130069,138.7337596
124.7342819,125.6110016,126.4980131,128.565424,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
124.7342819,125.6110016,126.609533,128.565424,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
125.1726418,126.5837975,128.4002886,129.9465572,131.9682159,133.7596855,135.0207176,136.3317922,137.8130069,138.7337596
124.7342819,125.7130852,126.7879639,128.4920307,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
124.7342819,125.8765522,127.6286545,128.7455724,130.0666555,131.9682159,133.7596855,135.0207176,136.3317922,138.0431951
124.7122637,125.8106651,127.6286545,128.7455724,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.4796143,124.7122637,125.9007387,128.2718497,129.9465572,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.7122637,125.8288945,128.2718497,129.9465572,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.6708014,125.91325,128.2718497,129.9465572,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.5850165,126.1034055,128.4920307,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.5796547,125.9953171,128.2718497,129.8064423,131.6729736,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.5796547,126.1034058,128.2718497,129.9465572,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.5796547,126.4436849,128.4920307,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.5796547,126.6938896,128.4920307,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.5507017,126.7382115,128.4002886,129.9465572,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.4620577,126.7382115,128.4693459,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.5060944,126.7382115,128.3132179,129.9465572,131.9682159,133.7596855,135.0207176,136.3317922,138.0431951
121.3595161,124.4520493,126.831502,128.3132179,129.8064423,131.6729736,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.4520493,126.8480156,128.51872,130.0666555,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.4520493,126.6663666,128.2597198,129.9965973,131.9682159,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.4520493,126.7572742,128.4203065,130.1867523,131.9682159,133.5695292,134.882605,136.4661887,138.1132521
121.3595161,124.4520493,126.7572742,128.225146,129.2860158,131.6729736,133.5695292,134.882605,136.3317922,138.0431951
121.3595161,124.4520493,126.2084923,127.4470062,128.7555809,130.9273631,133.2792892,134.882605,136.4661887,138.1132521
121.3595161,124.4520493,126.2084923,127.4470062,128.7555809,130.5270335,132.8439331,134.882605,136.3317922,138.0431951
121.3595161,124.4520493,126.2084923,127.4470062,128.7555809,130.5270335,132.0082499,134.5403239,136.3317922,138.0431951
121.3595161,124.4520493,126.2084923,127.4470062,128.7555809,131.1375351,133.5795364,135.0207176,136.3317922,138.0431951
121.3595161,124.4520493,126.2084923,127.4470062,128.7555809,130.5620613,131.7480367,134.7384857,136.3317922,138.0431951
121.3595161,124.4520493,126.2084923,127.4470062,128.7555809,130.5620613,131.7630501,134.6604233,136.4661887,138.1132521
121.3595161,124.4520493,126.2084923,127.4470062,128.7555809,130.5620613,131.7240173,134.5703481,136.3317922,138.0431951
121.3595161,124.4520493,126.2084923,127.3644387,128.6304779,130.3068517,131.7240173,134.5703481,136.3478058,138.0431951
121.3595161,124.4520493,126.2084923,127.4578484,128.7555809,130.4629791,131.7240173,133.6095581,136.1716614,138.0431951
121.3595161,124.4520493,126.1754654,127.4578484,128.7555809,130.4629791,131.7240173,133.6095581,136.1796692,138.0431951
121.3595161,124.4520493,126.123422,127.4578484,128.7555809,130.4629791,131.7240173,136.1796692,137.8130069,138.7337596
121.3595161,124.4520493,126.0690918,127.3129676,128.2952032,129.105868,130.4629791,131.7240173,136.1796692,138.1132521
121.3595161,124.4520493,125.9758005,127.3129676,128.2952032,129.105868,130.4629791,131.7240173,136.1796692,138.1372711
121.3595161,124.4340347,125.9758005,127.3129676,128.2952032,129.105868,130.4629791,131.7240173,136.1796692,138.13994
121.3595161,124.4340347,125.9899792,127.3129676,128.2952032,129.105868,130.4629791,131.7240173,136.1796692,138.1507816
